createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.decimals,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.decimals,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.decimals,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
13301515,2021-09-26,0x924d5d1bfec5a3c3e6a4aead8cced304a0a63242,1.58571224,2.36933e+17,3.17142448,13284.339,18973.66596,275,2.36933e+17,1.58571224,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545598.4642,60733850,9,0xeb27a30c2265632b4e9c79f3fda5889809094495,Saja,SAJA,2.36933e+17,275,9,0xeb27a30c2265632b4e9c79f3fda5889809094495,Saja,SAJA,2.36933e+17,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545598.4642,60733850
13111632,2021-08-28,0x79ace7b0f62eff320d2e9d6bc265dbc848f415da,0.524420838,2211084.605,0.524420838,1832.027023,1022.179816,275,2211084.605,0.524420838,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,18,0xfc7d109056d2fa62c14e0b4abdb4ed6bc0a65269,TurdBurgerMcDingleBerry,TBMDB,2211084.605,275,18,0xfc7d109056d2fa62c14e0b4abdb4ed6bc0a65269,TurdBurgerMcDingleBerry,TBMDB,2211084.605,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867
12898294,2021-07-25,0x9968f73882a04fa3698c864d9f32f57d19fa8c61,44356741.5,0.030656825,0.061313651,203.1628029,0.036558173,275,44356741.5,0.030656825,9,0x9893b325ae9132a6f244829fdc8a032e5bebcf40,Yoshi Inu,Yoshi,44356741.5,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,9,0x9893b325ae9132a6f244829fdc8a032e5bebcf40,Yoshi Inu,Yoshi,44356741.5,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867
12421456,2021-05-12,0xf2b26f2a703a9e624ea823bfe4d15470690e4d38,1612704285.0,0.007896769,0.007896769,18.01472183,3464.101615,275,1612704285.0,0.007896769,18,0xab508bb879502a7ff19709cf04f7b36ab0217b63,BabyELON,bELON,1612704285.0,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,18,0xab508bb879502a7ff19709cf04f7b36ab0217b63,BabyELON,bELON,1612704285.0,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927
11074144,2020-10-17,0xc9ed0512a077e5091011d9cba5961297233d55fa,28124.41027,0.002709754,0.002709754,5.113811241,8.532952504,275,28124.41027,0.002709754,18,0x738b0fa61fa26f68209fba5aadd2bb4e28f4e1b2,SaveCion,SAC,28124.41027,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,18,0x738b0fa61fa26f68209fba5aadd2bb4e28f4e1b2,SaveCion,SAC,28124.41027,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001
12788549,2021-07-08,0xba88f01b5078262a40c62c792a7ef482220f8d10,2.31105e-13,5e-18,1e-17,2.11546e-14,0.0,275,2.31105e-13,5e-18,18,0x357eaa7a23fd92647b33e030da68f7dcf83839df,Circle Token | Circle.com,CRL,2.31105e-13,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,18,0x357eaa7a23fd92647b33e030da68f7dcf83839df,Circle Token | Circle.com,CRL,2.31105e-13,275,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867
12542761,2021-05-31,0x0a930bf5d2c53923cf178e33bfaca5a1fb14f31b,2.07573023,3353381870.0,4.15146046,13852.75171,2.549509757,274,3353381870.0,2.07573023,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,9,0xeb034b6768699971e63c3033bb42cd775a3b987b,Aimi Neko,AIMI,3353381870.0,274,9,0xeb034b6768699971e63c3033bb42cd775a3b987b,Aimi Neko,AIMI,3353381870.0,274,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
11032901,2020-10-11,0x50f250ddf8b169d890c044b9e4001848d0b78582,33.51823005,0.208676634,0.208676634,483.3266462,2.577933892,274,33.51823005,0.208676634,18,0xb0806a30b9a30a2186a0ca58d8219689ac84656a,Dget finance,DGET,3654.554156,483,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,18,0xb0806a30b9a30a2186a0ca58d8219689ac84656a,Dget finance,DGET,3654.554156,483,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001
10994942,2020-10-05,0x6e4f78880860cd01767666bbf0c991366ac5cc9a,225.4996555,0.015403654,0.015403654,28.54707088,1.843908891,274,225.4996555,0.015403654,18,0x577e56c834998f8fa7eaca666582691ad4fd9de4,ZUSD,ZUSD,351.0075946,550,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,18,0x577e56c834998f8fa7eaca666582691ad4fd9de4,ZUSD,ZUSD,351.0075946,550,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001
10977542,2020-10-02,0xd62e7e4821b12b650c09b0958f7f08057a51f3b2,0.012070118,12707.00142,0.012070118,4.914639033,12.24744871,274,12707.00142,0.012070118,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,18,0xc9bef8e71c23c40d31a3f81f991c80388530bbdb,DronX,DRX,12707.00142,274,18,0xc9bef8e71c23c40d31a3f81f991c80388530bbdb,DronX,DRX,12707.00142,274,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001
