createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.decimals,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.decimals,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.decimals,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
12441434,2021-05-15,0x185ed391244ecbf951db0c415aefa76ceb5478be,6.8367e-10,1e-18,2e-18,7.61572e-15,0.0,12,6.8367e-10,1e-18,18,0x114a6a827a76f2ab0e4c4e2ead552ee6b4f56bfd,KISHUv2,KISHUv2,6.8367e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x114a6a827a76f2ab0e4c4e2ead552ee6b4f56bfd,KISHUv2,KISHUv2,6.8367e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12448533,2021-05-16,0xf5f6c41976790b015cc1800321d777371893d5d7,1.89917e-09,1e-18,2e-18,7.08058e-15,0.0,12,1.89917e-09,1e-18,18,0x912743e45b7699c02cbd5f52e53dcbec2eb390a4,Toshi Inu,TOSHI,1.89917e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x912743e45b7699c02cbd5f52e53dcbec2eb390a4,Toshi Inu,TOSHI,1.89917e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12446244,2021-05-16,0x0a90fd6eb9a70b57477848d43000f3664c9429b4,9.31106e-12,1e-18,2e-18,7.34673e-15,0.0,12,9.31106e-12,1e-18,18,0x99c0f7db2030c270d3ccaa0c3bdff89f6661ef80,Brazzers,BRAZZERS,9.31106e-12,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x99c0f7db2030c270d3ccaa0c3bdff89f6661ef80,Brazzers,BRAZZERS,9.31106e-12,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12445860,2021-05-16,0x8bd271873b16e24caa445c308e91c5983e937b52,1.47659e-10,1e-18,2e-18,7.44844e-15,0.0,12,1.47659e-10,1e-18,18,0x318b06b87325bbfc64abf7ed34a82caa0182ed46,Pornhub Coin,PORNHUB,1.47659e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x318b06b87325bbfc64abf7ed34a82caa0182ed46,Pornhub Coin,PORNHUB,1.47659e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12442477,2021-05-16,0x950f77a530ef019ce2039bda97e3cd818d79a073,4.46374e-09,1e-18,2e-18,7.64297e-15,0.0,12,4.46374e-09,1e-18,18,0x5588753e95929ef4a2c8558a9fd6456187ce3158,Hahu Inu,HAHU,4.46374e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x5588753e95929ef4a2c8558a9fd6456187ce3158,Hahu Inu,HAHU,4.46374e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12454930,2021-05-17,0x1e5d71a848a12db09b927c4054eb6e5cfd887999,3.03928e-11,1e-18,2e-18,6.79728e-15,0.0,12,3.03928e-11,1e-18,18,0xbdb19d784fe346a42148d60e3082fd50b17844f7,MONEY is gonna make us rich,MONEY,3.03928e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0xbdb19d784fe346a42148d60e3082fd50b17844f7,MONEY is gonna make us rich,MONEY,3.03928e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12454848,2021-05-17,0x9b75627173423461fc43088fb4d4688ce2dcec47,3.39406e-10,1e-18,2e-18,6.55184e-15,0.0,12,3.39406e-10,1e-18,18,0x910fa3c3616c413dce9cdebd0af2538800b9de14,Elon Musk Fan Token,LOVELON,3.39406e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x910fa3c3616c413dce9cdebd0af2538800b9de14,Elon Musk Fan Token,LOVELON,3.39406e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12454371,2021-05-17,0x71c5cc661c35ed1a500cb147d033c1deee88c670,1.08391e-09,1e-18,2e-18,7.05013e-15,0.0,12,1.08391e-09,1e-18,18,0x33fd4447fffd5eaec125aa96220faa860b63861b,LionDoge,LDOGE,1.08391e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x33fd4447fffd5eaec125aa96220faa860b63861b,LionDoge,LDOGE,1.08391e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12451466,2021-05-17,0x26f71ed64aa0acec12df912e4057f4993d884b34,4.87065e-09,1e-18,2e-18,7.06634e-15,0.0,12,4.87065e-09,1e-18,18,0x72a76619c2acef7b5409bd5d32e9647ee720b9af,TootyrToken,CYNU,4.87065e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x72a76619c2acef7b5409bd5d32e9647ee720b9af,TootyrToken,CYNU,4.87065e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12460186,2021-05-18,0xfbb6b6957b420d9aee453aaedb386a1f04952e13,6.23024e-09,1e-18,2e-18,6.71618e-15,0.0,12,6.23024e-09,1e-18,18,0x6484af17120835f89dc02fcf28cc8ae2ba510b99,EIShu Inu,EISHU,6.23024e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x6484af17120835f89dc02fcf28cc8ae2ba510b99,EIShu Inu,EISHU,6.23024e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12467260,2021-05-19,0x6b68b83bc299ac7b5976f9009632aabf82bb2616,4.61712e-10,1e-18,2e-18,5.3016e-15,0.0,12,4.61712e-10,1e-18,18,0x28b5680d8ea9303dc4f69694d0f5f4eedc980013,$BANK,$BANK,4.61712e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x28b5680d8ea9303dc4f69694d0f5f4eedc980013,$BANK,$BANK,4.61712e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12464205,2021-05-19,0x1ae3b1cb11012f3d28e8687b2f12b143a6ceb2bb,6.51004e-09,1e-18,2e-18,5.72878e-15,0.0,12,6.51004e-09,1e-18,18,0x9651ac58de6999895d060c5677447887b1dfdabf,DiShu Inu,DISHU,6.51004e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x9651ac58de6999895d060c5677447887b1dfdabf,DiShu Inu,DISHU,6.51004e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12471118,2021-05-20,0xc1298b0f57dbd4d70defce07811a84e3d7334118,5.2574e-09,1e-18,2e-18,5.50925e-15,0.0,12,5.2574e-09,1e-18,18,0x71586d77530bb39df0a5450eff507a2e6bb7b52e,OpShiba Inu,OSHIB,5.2574e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x71586d77530bb39df0a5450eff507a2e6bb7b52e,OpShiba Inu,OSHIB,5.2574e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12476913,2021-05-21,0xfb5147765d947b7895b6ac48f7372ed40ed453ed,5.31931e-09,1e-18,2e-18,5.51055e-15,0.0,12,5.31931e-09,1e-18,18,0x47fc0f73008474e33775623bb3e344a5c2430022,Xeon Shiba Inu,XESHIB,5.31931e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x47fc0f73008474e33775623bb3e344a5c2430022,Xeon Shiba Inu,XESHIB,5.31931e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12485855,2021-05-22,0x7dde87e8ec8ded5e682979b506c03608eeb005a9,1.77701e-08,1e-18,2e-18,4.58154e-15,0.0,12,1.77701e-08,1e-18,18,0x21deb5cf4b0c9dca62cc29cca0e32824b038c257,ClassicKishu,ClassicKishu,1.77701e-08,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x21deb5cf4b0c9dca62cc29cca0e32824b038c257,ClassicKishu,ClassicKishu,1.77701e-08,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12482586,2021-05-22,0x83da7a78d3da491a864306fb82fbdde7f189c8a2,5.9519e-09,1e-18,2e-18,4.45747e-15,0.0,12,5.9519e-09,1e-18,18,0x7faea8557a1836ce3c2c058cb4e8bede827a079b,ThorShiba Inu,TSHIB,5.9519e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x7faea8557a1836ce3c2c058cb4e8bede827a079b,ThorShiba Inu,TSHIB,5.9519e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12497300,2021-05-24,0x05784b40e8d328dd7d9e6c9e479ce00998c324da,7.78639e-09,1e-18,2e-18,4.8288e-15,0.0,12,7.78639e-09,1e-18,18,0x2aeb05a183dc4d92f7102ef50fc68c73fd2032ee,Social Inu,SCINU,7.78639e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x2aeb05a183dc4d92f7102ef50fc68c73fd2032ee,Social Inu,SCINU,7.78639e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12493941,2021-05-24,0xa8087816c7ea0046b847ea72d3e44af3e3a678f6,1.16418e-11,1e-18,2e-18,4.48649e-15,0.0,12,1.16418e-11,1e-18,18,0x2dbe535f6c54705046d5922027c7c16b0fbba1dc,Inu Yield Farm,IYF,1.16418e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x2dbe535f6c54705046d5922027c7c16b0fbba1dc,Inu Yield Farm,IYF,1.16418e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12510309,2021-05-26,0xe0e4ea8eabe013d4c890c6d77071d127c4db5625,1.95073e-09,1e-18,2e-18,5.43265e-15,0.0,12,1.95073e-09,1e-18,18,0xbdf30bf025ca397503ed3f3d5993dcaf43ad8dd1,Starlight Inu,STINU,1.95073e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0xbdf30bf025ca397503ed3f3d5993dcaf43ad8dd1,Starlight Inu,STINU,1.95073e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12507720,2021-05-26,0xcd082203b6c62dbb5688b4f9adc3874d2657d61a,1.17415e-11,1e-18,2e-18,5.74144e-15,0.0,12,1.17415e-11,1e-18,18,0xaf5d10f39d3ce1dd053648945f66b4e37be0c13c,Swiss Gold,SGD,1.17415e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0xaf5d10f39d3ce1dd053648945f66b4e37be0c13c,Swiss Gold,SGD,1.17415e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12524700,2021-05-28,0xdf96aa92f795d20ffb579a9b5ab0d1a33c993e19,1.16834e-11,1e-18,2e-18,5.01638e-15,0.0,12,1.16834e-11,1e-18,18,0xa1357743984c71d484a72ffbc5ad6768598fc935,George Inu,GINU,1.16834e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0xa1357743984c71d484a72ffbc5ad6768598fc935,George Inu,GINU,1.16834e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12523382,2021-05-28,0xabcc92067c570ce23a735b01fae628fcd70d4870,1.16064e-08,1e-18,2e-18,5.09767e-15,0.0,12,1.16064e-08,1e-18,18,0x22fb91551a8955655ed1183c202990a9b3150b09,AQUA Token,AQUA,1.16064e-08,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x22fb91551a8955655ed1183c202990a9b3150b09,AQUA Token,AQUA,1.16064e-08,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12520524,2021-05-28,0x7ba6ec1dfc8423d9e677d21bcdc04879150c2d97,1.10938e-08,1e-18,2e-18,5.3214e-15,0.0,12,1.10938e-08,1e-18,18,0xb0d993988eba962b1c2e38c03fcf4c3cf0e4b360,Ice Shiba Inu,ICEINU,1.10938e-08,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0xb0d993988eba962b1c2e38c03fcf4c3cf0e4b360,Ice Shiba Inu,ICEINU,1.10938e-08,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12519554,2021-05-28,0x374e7e7ae12d0b46e601d1331d5e483f85f26b9c,1.97586e-10,1e-18,2e-18,5.36682e-15,0.0,12,1.97586e-10,1e-18,18,0x10450c88da6250b629ecfc5f01b3572ddcda8748,Wolfie Inu&#128062;&#128058;,WOLFINU,1.97586e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x10450c88da6250b629ecfc5f01b3572ddcda8748,Wolfie Inu&#128062;&#128058;,WOLFINU,1.97586e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12530083,2021-05-29,0xcb380356906052804cb95134a5418b3fed3cd38c,8.03944e-09,1e-18,2e-18,4.63526e-15,0.0,12,8.03944e-09,1e-18,18,0x4b322281c55cc6435654a9a5fbd7f3b5d4bad6b8,Golden INU,Golden,8.03944e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x4b322281c55cc6435654a9a5fbd7f3b5d4bad6b8,Golden INU,Golden,8.03944e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12536806,2021-05-30,0x5c60262a0ab338ca43e5e2c77634dad8db9d5625,6.79743e-09,1e-18,2e-18,4.79036e-15,0.0,12,6.79743e-09,1e-18,18,0x13f72a30c2684870e9d104aae01ef7f283371cc3,Turkey shiba Inu,TUSHIBA,6.79743e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x13f72a30c2684870e9d104aae01ef7f283371cc3,Turkey shiba Inu,TUSHIBA,6.79743e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12534886,2021-05-30,0x2b28807a345991dd24b85edc14ff471f6842369c,6.64573e-09,1e-18,2e-18,4.85472e-15,0.0,12,6.64573e-09,1e-18,18,0x112c65f5409718e2d0ed685b82a14e245942c941,Ethereum Mini,eMin,6.64573e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x112c65f5409718e2d0ed685b82a14e245942c941,Ethereum Mini,eMin,6.64573e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12534875,2021-05-30,0xbf4fcbb0cdb64444fa14bff7626aad5d67fd32e5,1.05991e-08,1e-18,2e-18,4.84029e-15,0.0,12,1.05991e-08,1e-18,18,0x59dd3d6cff0a043028b63796094e6a1daab2590e,Ethereum Supreme,ETHSUP,1.05991e-08,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x59dd3d6cff0a043028b63796094e6a1daab2590e,Ethereum Supreme,ETHSUP,1.05991e-08,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12543855,2021-05-31,0x8736a785fd3a9417be038fb9ea4e73900c6fc7ea,8.12004e-09,1e-18,2e-18,5.19291e-15,0.0,12,8.12004e-09,1e-18,18,0x7df5a4cc8572d1d84463eac551c75519fc4c7f21,BuGa Inu,BUGA,8.12004e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x7df5a4cc8572d1d84463eac551c75519fc4c7f21,BuGa Inu,BUGA,8.12004e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12541850,2021-05-31,0x24892f2df2db30dfbe1c2f246ad2ee958f3d111f,4.92483e-09,1e-18,2e-18,5.12765e-15,0.0,12,4.92483e-09,1e-18,18,0x4eea9eaa8f6befa0096d5967978a0585a27eda95,Bunny.Farm,BUNNY,4.92483e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x4eea9eaa8f6befa0096d5967978a0585a27eda95,Bunny.Farm,BUNNY,4.92483e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12539760,2021-05-31,0x214f00e48c61f9847c91be31a622900e4acdf6be,1.7242e-11,1e-18,2e-18,4.59131e-15,0.0,12,1.7242e-11,1e-18,18,0x080c57a9ea38b5fb4351ffe56b596674e72facea,Mooncat,MoonCAT,1.7242e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x080c57a9ea38b5fb4351ffe56b596674e72facea,Mooncat,MoonCAT,1.7242e-11,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12547816,2021-06-01,0xd201b6e7ed9cabb1d55ead1052f07453baa0d72c,5.04855e-09,1e-18,2e-18,5.19399e-15,0.0,12,5.04855e-09,1e-18,18,0xa7f0d89aa9c84f4bb1bc12fd761190f13557b827,TropicalDoge,TPDOGE,5.04855e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0xa7f0d89aa9c84f4bb1bc12fd761190f13557b827,TropicalDoge,TPDOGE,5.04855e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12547726,2021-06-01,0x4b9473cd56d0439a1cee8568f01ee3905cc856d3,5.55581e-09,1e-18,2e-18,5.2225e-15,0.0,12,5.55581e-09,1e-18,18,0x85d2cc065bacb40c45a47127cc0cc8683d5b8468,Tenno Shiba,TIBA,5.55581e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x85d2cc065bacb40c45a47127cc0cc8683d5b8468,Tenno Shiba,TIBA,5.55581e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12546922,2021-06-01,0x7934f05133132341b8a935aa6302632d796ae478,9.9162e-09,1e-18,2e-18,5.17658e-15,0.0,12,9.9162e-09,1e-18,18,0xba8fa35c202e2624d8985be637034d8658c2effa,PayPal v2,PAYPAL,9.9162e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0xba8fa35c202e2624d8985be637034d8658c2effa,PayPal v2,PAYPAL,9.9162e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12557402,2021-06-02,0x50ec3cd3d148285bb748bcac15af383ed5055f75,2.40558e-10,1e-18,2e-18,5.37602e-15,0.0,12,2.40558e-10,1e-18,18,0x916cff6abbe519c5e41148cec72ae04d49d29e6a,EthereumApex,ethereumapex.com,2.40558e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x916cff6abbe519c5e41148cec72ae04d49d29e6a,EthereumApex,ethereumapex.com,2.40558e-10,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12553993,2021-06-02,0x1d01f13e6744c14091025aba2e845600e4a20445,3.11936e-09,1e-18,2e-18,5.41639e-15,0.0,12,3.11936e-09,1e-18,18,0x1a50998fb4901f726954de587fc7420dcedc35ff,EthenolShiba,ENOISHI,3.11936e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x1a50998fb4901f726954de587fc7420dcedc35ff,EthenolShiba,ENOISHI,3.11936e-09,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
12553900,2021-06-02,0x25128909d99d7b0e5455cd3423184a9536deb91e,3.54676e-12,1e-18,2e-18,5.37801e-15,0.0,12,3.54676e-12,1e-18,18,0x9dc56bb6881a04fd7c36041561e57cf66a7c9165,Ethereum Kikuta,eKikuta,3.54676e-12,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,18,0x9dc56bb6881a04fd7c36041561e57cf66a7c9165,Ethereum Kikuta,eKikuta,3.54676e-12,12,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891
