createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.decimals,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.decimals,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.decimals,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
12733462,2021-06-30,0xfa844bf44772899590eb6cb2a1ac64fb50f5fa48,4.2668e-05,2.4e-17,4.8e-17,1.02645e-13,0.0,32,4.2668e-05,2.4e-17,9,0x05c33bc98c774a20ed5dd14935f34ccb2a129dec,Diamond Boy Coin,DIAMOND 💎🚀🌕,4.2668e-05,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,9,0x05c33bc98c774a20ed5dd14935f34ccb2a129dec,Diamond Boy Coin,DIAMOND 💎🚀🌕,4.2668e-05,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885
11177599,2020-11-02,0x89301128e4ca6edc23670d2213e9577caa715696,4.478e-14,2.3e-17,4.6e-17,1.75898e-14,0.0,32,4.478e-14,2.3e-17,18,0x5a9e4f513fc9038b8640c9045c518c687b736043,UniTradeBot.app,uBOT,4.478e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0x5a9e4f513fc9038b8640c9045c518c687b736043,UniTradeBot.app,uBOT,4.478e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965
12945584,2021-08-02,0xe306d367579df28c61a7ca0d69d9e85ebd464a77,4.8441e-05,2.1e-17,4.2e-17,1.09548e-13,0.0,32,4.8441e-05,2.1e-17,9,0x9e59330e161ae8a726c1e6d90c9f5b279d80d180,twitter.com/MTLToken,💎MTL,4.8441e-05,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,9,0x9e59330e161ae8a726c1e6d90c9f5b279d80d180,twitter.com/MTLToken,💎MTL,4.8441e-05,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867
11373421,2020-12-02,0xfe34219c60b8f01a57294d0039568da66e271a81,2e-17,5.0382e-14,4e-17,2.35833e-14,0.0,32,5.0382e-14,2e-17,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0xd661c97caf8fabe5c3c6fa452b467a9b9de27415,PorkSwap,PORK,5.0382e-14,32,18,0xd661c97caf8fabe5c3c6fa452b467a9b9de27415,PorkSwap,PORK,5.0382e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965
11620637,2021-01-09,0x20c8661080d4fc729d266de9720010354f6647e7,5.0184e-14,2e-17,4e-17,4.26117e-14,0.0,32,5.0184e-14,2e-17,18,0x754f292a7d1a6414ffe68971378f1bff304951f5,Nord Finance,NORD,5.0184e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0x754f292a7d1a6414ffe68971378f1bff304951f5,Nord Finance,NORD,5.0184e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965
11625307,2021-01-10,0xf01c6a5001d236ced37270f5387c565cef701cc5,5.4177e-14,1.9e-17,3.8e-17,4.18125e-14,0.0,32,5.4177e-14,1.9e-17,18,0x9889a5fc58435fb6bd9e2d6f7685e80ee7403498,dYdX Token,DYDX,5.4177e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0x9889a5fc58435fb6bd9e2d6f7685e80ee7403498,dYdX Token,DYDX,5.4177e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965
13587897,2021-11-10,0x4763b1a39b88eedb69a48752976e66d4c59d73f9,5.2895e-14,1.9e-17,3.8e-17,1.78177e-13,0.0,32,5.2895e-14,1.9e-17,18,0x77fd8020284a592bc782ebd05b693d7fe1cc614e,Temple,TEMPLE,5.2895e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545611.2245,60733827,18,0x77fd8020284a592bc782ebd05b693d7fe1cc614e,Temple,TEMPLE,5.2895e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545611.2245,60733827
11209527,2020-11-07,0x25f0ead5d2b4dc8e8253a09bc5e734e2cf5c2d02,5.6741e-14,1.8e-17,3.6e-17,1.65362e-14,0.0,32,5.6741e-14,1.8e-17,18,0x93bbb43c410bd8874ae3d1d9b24079a55538ce1c,Derd Network,DERD,5.6741e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0x93bbb43c410bd8874ae3d1d9b24079a55538ce1c,Derd Network,DERD,5.6741e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965
11190861,2020-11-04,0x8e295decbe1e166c21995e6a6f20b6759c24f031,5.9547e-14,1.7e-17,3.4e-17,1.36703e-14,0.0,32,5.9547e-14,1.7e-17,18,0x4e9d91e71a0204edb6eac089315f5a40c3c7d48e,CR7 Burn,CR7B,5.9547e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0x4e9d91e71a0204edb6eac089315f5a40c3c7d48e,CR7 Burn,CR7B,5.9547e-14,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965
12884590,2021-07-23,0x9bc99fa256115ee44b7fe2017adc3e86007049be,3.0737e-05,3.3e-17,3.3e-17,8.02816e-14,0.0,32,3.0737e-05,3.3e-17,9,0x5e6edc5fd026b46e15b4fa1226ebadb1acdb0ac9,Tomboy GF,TOMBOY️,3.0737e-05,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,9,0x5e6edc5fd026b46e15b4fa1226ebadb1acdb0ac9,Tomboy GF,TOMBOY️,3.0737e-05,32,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867
