Label,txcount,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
True,16,2.0,13.0,1.0,0.125,0.8125,8.602851267627666942416908568702638149261474609375,0.000528502,0.149216835,0.034349857,8.0,5.0,1.333333333,100.0,0.0,1,0,5.345240520687804497636470736,3
True,30,1.0,29.0,0.0,0.033333333,0.966666667,0,0.0,0.156307711,0.0,23.0,6.0,3.285714286,100.0,0.0,1,0,4.988026228000000119209289551,1
True,17,2.0,15.0,0.0,0.117647059,0.882352941,0,0.483323936,0.740968174,0.0,6.0,9.0,0.6,100.0,0.0,1,0,2.860338007031699461919689832,1
True,5,1.0,4.0,0.0,0.2,0.8,0,0.0,0.250110943,0.0,2.0,2.0,0.666666667,100.0,0.0,1,0,1.9999776,1
True,11833,10.0,11814.0,9.0,0.000845094,0.998394321,0,0.114867845,0.452197723,0.167126106,6334.0,5480.0,1.155628535,100.0,0.0,0E+42,1.000000000000000000000000000,1.835168695162701658695105106,1
True,807,24.0,779.0,4.0,0.029739777,0.965303594,0.00028929194745359247502303201571294266614131629467010498046875,0.232575666,0.501706445,0.713189097,423.0,356.0,1.18487395,100.0,0.0,1,0,1.565020398637839031549363991,1
True,5,1.0,4.0,0.0,0.2,0.8,0,0.0,0.664404158,0.0,1.0,3.0,0.25,100.0,0.0,1,0,1.223649652000000029802322388,1
True,44,1.0,43.0,0.0,0.022727273,0.977272727,0,0.0,0.184190031,0.0,37.0,6.0,5.285714286,100.0,0.0,1,0,1.19,146
True,9,1.0,8.0,0.0,0.111111111,0.888888889,0.00002911208151382823779130225305689094739136635325849056243896484375,0.0,0.327987973,0.0,5.0,3.0,1.25,100.0,0.0,0E+40,1.000000000000000000000000000,1.136826783114992721979621543,1
True,12,1.0,11.0,0.0,0.083333333,0.916666667,0,0.0,0.182361139,0.0,9.0,2.0,3.0,100.0,0.0,0E+41,0.9999999999999999999999999999,1.136826783114992721979621543,1
True,30,1.0,29.0,0.0,0.033333333,0.966666667,0,0.0,0.152949679,0.0,23.0,6.0,3.285714286,100.0,0.0,1,0,1.11,146
