createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,token0.name,reserveETH,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,`,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp
11115682,2020-10-24,0x91e5d3ad8db7340f3acc01f56b1a4fe284aad3c7,3.16e-14,3.2e-17,duelingnexus.com,6.4e-17,0x9ef1641540c79208bb7ffa1c164ec0de08e45139,duelingnexus.com,YuGiOh,3.16e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545292.2038,60734008,50.0,50000.0,1603498155,2020-10-24 9:09,1,5,1,0,88,202,2,3,202,burn,1603498155,2020-10-24 9:09,50.01718188,3.2e-17,-1.0,0.05611111111111111h,True,1603498155
11123095,2020-10-25,0xe1cc4d5ce380b764f134e0a575d63e87f3729ea8,1.36e-14,7.4e-17,Zize Defi,1.48e-16,0x999624d27f80d9e72ed4a382b77c16edf4761c13,Zize Defi,ZIZ,1.36e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545292.2038,60734008,51.0,10000.0,1603606026,2020-10-25 15:07,1,5,1,0,490,10202,5,0,10202,burn,1603606026,2020-10-25 15:07,52.69,7.4e-17,-1.0,2.8338888888888887h,True,1603606026
12678635,2021-06-21,0x4c1e80d790bb7edb6c4efee080d9806f453cb5ea,49026272.5,15.51555292,JollyRoger,31.03110584,0xa20fcd8cfa055d65c9565dd1c89c89ddcc2309d3,JollyRoger,$LOOT,49026272.5,251,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,69.48171384,11117074.21,1628426060,2021-08-08 12:34,1,249,1,0,82207,134231,28,221,3493559,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1628426060
12479487,2021-05-21,0x3a46a60c9fcbbb652d94d2c1102f98139c798a53,1.47e+17,2.303180974,MoonSpartan,4.606361948,0x523b606ca3cb24656d3029677b26e3ae08bc9cae,MoonSpartan,SPAR,1.47e+17,251,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,2.0,1.62e+17,1626705145,2021-07-19 14:32,1,250,0,0,172987,0,151,99,5081161,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1626705145
13468892,2021-10-22,0x83d04d1a7c4bee2ede5fcd4378c66adbca40d81a,3.897443717,625000000000.0,Wrapped Ether,7.794887433,0xe3eeebb0677ef3156c2b7311140d9a4da7d31645,Starship SN20,SN20,625000000000.0,251,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545604.3712,60733839,2.5,918000000000.0,1636729352,2021-11-12 15:02,1,250,0,0,27526,0,122,128,1803654,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1636729352
11002693,2020-10-06,0x6c7cc6d4c2bb4f28dac672a7dcb57ea5ca1ba57a,5.29e-14,1.9e-17,GMT DeFi,3.8e-17,0x11b7c75c5bf21f5dfa8777c70847ca642888efde,GMT DeFi,GMT,5.29e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,51.3,143743.0,1601994228,2020-10-06 23:23,1,5,1,0,32,137,2,3,137,burn,1601994228,2020-10-06 23:23,51.31164459,1.9e-17,-1.0,0.03805555555555556h,True,1601994228
11136769,2020-10-27,0x4d606258d73c28e0240c025907c01f50a728a03a,1.45e-14,6.9e-17,Silicon Core Finance,1.38e-16,0x1d2955328f0af524eb465b99708a227aa10f5764,Silicon Core Finance,SICF,1.45e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,52.0,11000.0,1603805291,2020-10-27 22:28,1,5,1,0,754,27667,2,3,27667,burn,1603805291,2020-10-27 22:28,52.0007175,6.9e-17,-1.0,7.685277777777777h,True,1603805291
11074596,2020-10-17,0x937075fd1a75842ef0a4a6979fb8f0036a203df3,2.5e-17,4.11e-14,Wrapped Ether,5e-17,0xd19c824a584504e17bd7d0ee758d263efc115b65,Become Rich Finance,BRF,4.11e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,53.0,90000.0,1602953926,2020-10-18 1:58,1,5,1,0,293,869,3,2,869,burn,1602953926,2020-10-18 1:58,53.09751059,2.5e-17,-1.0,0.24138888888888888h,True,1602953926
12834843,2021-07-16,0xcc3af4dedcb2ebca7b35d79627d257a9beec5ef4,312000000000000.0,4.781448427,Baby Tenshi,9.562896854,0x904759bde00e3f5f2223b36cd8e1bdb5a35465cb,Baby Tenshi,BTENSHI,312000000000000.0,253,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,3.0,500000000000000.0,1627620925,2021-07-30 4:55,1,251,1,0,14856,404180,123,128,1223736,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1627620925
11080116,2020-10-18,0x6db469300e19ccda4f63e263f8a50f0f776347c5,2.4e-17,4.26e-14,Wrapped Ether,4.8e-17,0xd343dcfdbe73c2f7d3e9983b2b7d58cf49d8c660,Core Finance V2,CF,4.26e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,55.0,100000.0,1603037916,2020-10-19 1:18,1,5,1,0,351,10946,2,3,10946,burn,1603037916,2020-10-19 1:18,55.01166666,2.4e-17,-1.0,3.0405555555555557h,True,1603037916
13335449,2021-10-01,0x17b8155e20fed1f0c485fd03a8ebb89cea64a21a,4.073228173,614000000000.0,Wrapped Ether,8.146456346,0xc6b85f946b21ec66ce0bdc4640da08d70d2df0a8,Tom and Jerry,TOMJERRY,614000000000.0,254,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545598.4642,60733850,3.6,682000000000.0,1634626167,2021-10-19 6:49,1,252,1,0,47628,1431075,103,149,1508281,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1634626167
11031582,2020-10-11,0x32b1adaaba77c1b3f4896b1658829e6f5c084eda,4.02e-14,2.5e-17,daofi.finance,5e-17,0x803f443445e68cd88f5200bb71ea2a37418413f5,daofi.finance,DAOfi,4.02e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,55.0,90000.0,1602385658,2020-10-11 12:07,1,5,1,0,437,1322,4,1,1322,burn,1602385658,2020-10-11 12:07,55.31460971,2.5e-17,-1.0,0.3672222222222222h,True,1602385658
