createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.decimals,token00.txCount,token00_creator_address,txCount,initial_Liquidity_Token,current_token,initial_Liquidity_Eth,current_Eth,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_our,is_rugpull,feature_timestamp
2020-10-16,0x488678f0d1237713aaa50c341159e15caf9afac8,hyve.works,HYVE,Wrapped Ether,WETH,0x971bcc7da750a36739d052526c079769dc8abca2,hyve.works,HYVE,18,92,0xafccabe1fcc5ce4ee870f6b52818091b5db9a930,92,10000000.0,3.57e-14,400.0,2.9e-17,1602895906,2020-10-17 0:51,burn,1602895906,2020-10-17 0:51,890.9153465,2.9e-17,-1.0,9.455833333,True,1602895906
2020-10-15,0xf3bcd83d17005d5cba4574464eeb7bba29a43780,Wrapped Ether,WETH,special Coin,SLN,0xfc9b1126724d2eacbd44aeaf879e7ad7848a1238,special Coin,SLN,18,54,0x3ddfbc7aaed563e955e5a38691e8d008859cc75c,54,8888.0,1.8e-14,10.0,5.6e-17,1602895923,2020-10-17 0:52,burn,1602895923,2020-10-17 0:52,9.617928255,5.6e-17,-1.0,34.12916667,True,1602895923
2020-10-16,0x740eb16411410bb9015c40cd9a25b1d3e5fc3f9b,BitcionKing,BTK,Wrapped Ether,WETH,0xa915d0ce80deefbb603171f67e8b1536d996f3e7,BitcionKing,BTK,18,7,0xc2681fd9eb89b8383b4c7f4e509eb48a1fb46318,7,5000.0,2.99e-14,5.0,3.4e-17,1602895998,2020-10-17 0:53,burn,1602895998,2020-10-17 0:53,5.290732118,3.4e-17,-1.0,12.78444444,True,1602895998
2020-10-15,0x2b7ad69722bd0544da1d3b92259b396c87a6b937,LAZARUS,LZRS,Wrapped Ether,WETH,0x7cbdb6017e6877ce3109501eaf05dfc903d5db56,LAZARUS,LZRS,18,11,0x29cfd8199618380227f43961ebb9f865966063dc,11,18000.0,1.26e-14,90.0,8e-17,1602897873,2020-10-17 1:24,burn,1602897873,2020-10-17 1:24,101.266804,8e-17,-1.0,33.56444444,True,1602897873
2020-10-16,0x37c54a60c95fb87ade4a2aab544946a9fd652917,BitDeFi,BDF,Wrapped Ether,WETH,0x8d22636e217548addcd6bee6bcafa313bacbe810,BitDeFi,BDF,18,10,0x16010c66bfec585d3fc1d9959ccb9b9fbde1e2ec,10,6000.0,7.98e-15,85.0,1.26e-16,1602897975,2020-10-17 1:26,burn,1602897975,2020-10-17 1:26,89.50204296,1.26e-16,-1.0,22.7375,True,1602897975
2020-10-16,0xe82d2d3c07478b70ee2f79bc09af94c4938a5815,Harvest,HARD,Wrapped Ether,WETH,0x83bc336d0029b9a254cdd7efa5f1ae29584bbebc,Harvest,HARD,18,9,0xd43380531b24fe48936e4c7550d5750fe572bfe6,9,1500000.0,8.29e-14,200.0,1.3e-17,1602898167,2020-10-17 1:29,burn,1602898167,2020-10-17 1:29,209.0187589,1.3e-17,-1.0,22.37277778,True,1602898167
2020-10-16,0xbd912a4b656dd6bd70ae6afa58555da5327e24f1,Wrapped Ether,WETH,Motherbase,MSF,0xcbbc3ce5e9991e137fe595c149c6be13691683af,Motherbase,MSF,18,7,0x1bd3483c0eff0e1bf669a439e841337810f48933,7,9000.0,9.02e-15,100.0,1.11e-16,1602898238,2020-10-17 1:30,burn,1602898238,2020-10-17 1:30,105.2,1.11e-16,-1.0,16.57444444,True,1602898238
2020-10-16,0x61215686d36b1b175966e88570aa9bbca3754500,Y.Financial,YDOT,Wrapped Ether,WETH,0x884d54d4a62e15c0be67dc3dddc8e095934333ab,Y.Financial,YDOT,18,31,0x45dfa5c6e00d2e6f5239be433f0f582d5146ceaf,31,600000.0,3.19e-14,500.0,3.2e-17,1602898465,2020-10-17 1:34,burn,1602898465,2020-10-17 1:34,543.6812737,3.2e-17,-1.0,11.40805556,True,1602898465
2020-10-15,0xa955a37298ac8fa0fa46cf4e4697aaac83c79cd1,TYCOON DEFI,TCOIN,Wrapped Ether,WETH,0x9e29396e8f347a1911b67d5fa01514119f08b581,TYCOON DEFI,TCOIN,18,9,0xb5843ee3937ed89aa84b6c309f2061702e507874,9,8000.0,8.88e-15,85.0,1.13e-16,1602898660,2020-10-17 1:37,burn,1602898660,2020-10-17 1:37,92.86376824,1.13e-16,-1.0,33.28138889,True,1602898660
2020-10-16,0xff88a9c29ea78cd1e1b811105f3a500b95f09ff3,Wrapped Ether,WETH,EZF,EZF,0xc227bd9353de3ff69eea9d32ea2847361e54e8fb,EZF,EZF,18,7,0x668e1127694d0ec976404f4ba5711f99d029bbd3,7,1400.0,4.2e-15,70.0,2.38e-16,1602898763,2020-10-17 1:39,burn,1602898763,2020-10-17 1:39,74.5,2.38e-16,-1.0,12.12666667,True,1602898763
