id,token00_creator_address
0xf3e1e2565dc06a418b185d04f4d81580e52dddc6,0xeeed53729bc3443ff94479fab86569b79bf21ccd
0x4b44bff4d4e5b69c9a6e3d6515abfbd0b07b5ad7,0x25767cb71a105f8e6529c82a8b6028df4b25726d
0xc929175c2774dbd6a88780e7c255844c21bd8e3b,0x88c90289cee64e7bf69175abf7c77dc598f24189
0xbf6b467b87c9ebb82f7d7f7459673f4d8516581b,0xa097e13bef6a6985008924af02f3afdb8814391d
0x742ec4780ef365fdabdd9517c3624018a796c0d9,0x1512f443dbc0df6b2c2aadc2f035c4ba5f745700
0x410cf8b698f9392d5624d1723a7b3ee59f8891c1,0x605c2a88f6ef088529c121ca56c234c7d08c103c
0x7c83f0dfaa6cbfb86eedc7d63b45ae0591185046,0x060c6517a1d89c1899b5ba1fd5c1bccace883966
0x91bca6ff6fc63a0ca5f91cb922d5d8d63b33ddd5,0xe05403c68945f4b6e1c9b6ba809c4c373f427fb7
0x170a465924392f0bb124e1683100db6bb4e307e7,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f
0x7e5e20abae0df58bf2142dc3ca232051bea1e556,0xc0aee478e3658e2610c5f7a4a2e1777ce9e4f2ac
0x88b5a466a642846832169fa46fb3640feeacc569,0xb821f89fdae97f2f4387bf53eee7ac6a9e56d32a
0x3cf37802690f9df21828a4a8ae19c061d549c82d,0xfc788e41ff2405a6b032f18aba8a90be45e335b6
0x01f82214691b4ac9a0a88c2d84690b231f2f0623,0x5f4f43baf7d65f2afb479ac756095b9fc89f3f9a
0x1d2b21a9683e294fff64be46e1be8e6d36c0af53,0x267beee44546dc6f5c38bab441cba83f648819fd
0xe6419b14d11a951c3c417d969e502dd316890f65,0x335da84e151a01b840cccdd8548bb5b0b58bf912
0xb34f135c8db365b5548f9f3faa3fa8baad66c8e9,0x49b0194dcec9844facadca6031d79df947458ce3
0xae3b6b1189a26c591cb33ae1005e7efdbd7f1fd3,0x45b1b42aaedb1d7259634c07a143f3dcbcb9a8c3
0x4369470767809bbc95f0d49d9e28b19a24e5ecea,0x7b969abc1e7543c8d30e11f6b07eb67eee65e016
0x7360d94f99fb69175e493c84144936b66b0b3cb2,0xbecf705e175f96aaf4534e95f243737f005f81d5
0x2ae4058086d40a1bbc36d355160f7e257e9ea772,0xac0dd8f7e2f0d16500da19bf0c0c3e29ea3a7fcc
0x3025744044faf2d059946571711df688a052f7c8,0x3b1a69226c4fbc8cd7875c5865b4238a8027b693
0x835586a23c0cc7441423d5504b81ae777389555d,0xacddbaaf3cd2bdc8babc338cd8beda1631bc5662
0xc0e922ffe08de5295649bb87ec6254ff58fd8a06,0x2cabc30efe651dbdb32599d48838c0245cb5fc3e
0x163f0e623a359604981d4209527c06465214d455,0x903439a7941b892ec9b30cc3e9e942138fda7328
0x244cabbb79476b926d6c330cdfe24962df33dc2d,0x8b9ec99d0ed20db0cfa7d68712bed6f27d05093e
0x70d6b219d86f30021d4eb37b857b188ae76cf870,0x1e1fedbeb8ce004a03569a3ff03a1317a6515cf1
0xe93ff4a092ff57e6cc77c3674c9c008b1a4ddc1b,0xf6e8ee58f0dac4908e7f8d5315635fe3939c552a
0xb188a0318601cf594a8ace0d86b856efcf407fc5,0x8d68422151c6544026095d23b873004a1e7e41ff
0xdcbe758b2701731bfd11759eeeea12f09c6cdefa,0xd7318b497423c867ee313aad39fcc84d120b3f58
0xf08703c8f9699a0da0d20994d1900e76edb9d849,0xf31797f2c34593c26523a10df697db0fc3a143ee
0x69b998c68cce089fe9b21cb20ece3170f9c9abdc,0x458035280f6ee06ec4fadbd89b53610be6478bad
0x985e68eddf27f3b788a321cef075502093c50f87,0x86e4ce490032bcbccfd285b7536aac976b8a1fca
0x9dc696f1067a6b9929986283f6d316be9c9198fd,0x7c8a19ab0a25c712f5ab97b27587d8078a494d6c
0x32ce7e48debdccbfe0cd037cc89526e4382cb81b,0x5a16552f59ea34e44ec81e58b3817833e9fd5436
0x7e38e7e963d4f339cde2f2878f0bd836b22b5921,0xc39dc26bcd04047c2d9ed84e296a64e0c27bae52
0x300679a94a7fee4dd1ecd0e5338453852e0ba666,0x64d5242eff63893fb752282a6e0af27475a04555
0x0d79ecf184eabfe6c9514e669117ef12c79bea15,0x6731621c46a7b89069af087b367856e69b2e926c
0x9c9b0aeee7206807554b0a7e10f270b46025bcfc,0x3f0929bf2388a823d5488f2a190dbb97d467638c
