Label,txcount,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
True,15,1,14,0,0.066666667,0.933333333,4.999999999999999e-15,0.0,0.187020011,0.0,12,2,4.0,100.0,0.0,0.0,1.0,1.0,2
True,12,1,11,0,0.083333333,0.916666667,5.049999999999999e-16,0.0,0.323483058,0.0,10,1,5.0,100.0,0.0,0.0,1.0,1.0,2
True,13,1,12,0,0.076923077,0.923076923,0.0,0.0,0.450518263,0.0,11,1,5.5,100.0,0.0,0.0,1.0,1.0,1
True,21,1,20,0,0.047619048,0.952380952,5e-14,0.0,0.122530968,0.0,18,2,6.0,100.0,0.0,0.0,1.0,1.0,1
True,14,1,13,0,0.071428571,0.928571429,5e-14,0.0,0.202172601,0.0,8,5,1.333333333,100.0,0.0,0.0,1.0,1.0,1
True,23,1,22,0,0.043478261,0.956521739,5.059999999999999e-16,0.0,0.361437457,0.0,17,5,2.833333333,100.0,0.0,0.0,1.0,1.0,1
True,6,1,5,0,0.166666667,0.833333333,5.05e-09,0.0,0.461919505,0.0,3,2,1.0,100.0,0.0,0.0,1.0,1.0,1
True,16,1,15,0,0.0625,0.9375,0.0,0.0,0.252162501,0.0,15,0,15.0,100.0,0.0,0.0,1.0,1.0,1
True,18,1,17,0,0.055555556,0.944444444,0.0,0.0,0.253546911,0.0,14,3,3.5,100.0,0.0,1.0,0.0,1.0,1
True,87,1,86,0,0.011494253,0.988505747,6e-09,0.0,0.196647852,0.0,86,0,86.0,100.0,0.0,0.0,1.0,1.0,1
True,11,1,10,0,0.090909091,0.909090909,5e-10,0.0,0.205273713,0.0,10,0,10.0,100.0,0.0,0.0,1.0,1.0,1
True,56,1,55,0,0.017857143,0.982142857,0.0,0.0,0.206831977,0.0,55,0,55.0,100.0,0.0,0.0,1.0,1.0,1
True,24,1,23,0,0.041666667,0.958333333,5.000000000000001e-13,0.0,0.073476486,0.0,19,4,3.8,100.0,0.0,0.0,1.0,1.0,1
True,29,1,28,0,0.034482759,0.965517241,0.0002621359223300971,0.0,0.212598425,0.0,23,5,3.833333333,100.0,0.0,0.0,1.0,1.0,1
True,14,1,13,0,0.071428571,0.928571429,4.0693069306930696e-13,0.0,0.307330663,0.0,11,2,3.666666667,100.0,0.0,0.0,1.0,1.0,1
True,17,1,16,0,0.058823529,0.941176471,4e-13,0.0,0.535449735,0.0,14,2,4.666666667,100.0,0.0,0.0,1.0,1.0,1
True,148,1,147,0,0.006756757,0.993243243,5e-09,0.0,0.082227529,0.0,134,13,9.571428571,100.0,0.0,0.0,1.0,1.0,1
True,12,1,11,0,0.083333333,0.916666667,5e-14,0.0,0.304238309,0.0,11,0,11.0,100.0,0.0,0.0,1.0,1.0,1
