id,Label,mint_count_per_week,burn_count_per_week,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn_per_week,swapOut_per_week,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,token_burn_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
0x56789877d5cfc893ca9faed587906a9e98adf7f8,True,0.9934949733885275,0.0,0.2,0.8,0.0,0.0,0.31010101,0.0,1.986989946777055,1.986989946777055,0.666666667,100.0,0.0,0.9958591954545455,0.0,5458333333.333333,-5.592405e-07,1
0x48857ee4f526d47650be9ccc7e8bcb60ffe433b3,True,0.9883386497934425,0.0,0.0625,0.9375,0.0,0.0,0.263172646,0.0,14.825079746901638,0.0,15.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.0,1
0x93ed3f7b17a919b6af151d8d155d766527675265,True,0.974551759365639,0.0,0.1,0.9,0.0,0.0,0.154625467,0.0,4.872758796828195,3.898207037462556,1.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.0,5
0xa180e87a3e6d3a87c37cd021aad194e671ee61cd,True,0.9861662785919737,0.0,0.052631579,0.947368421,0.0,0.0,0.483380481,0.0,17.750993014655528,0.0,18.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.0,1
0x6a49b2fc0e7ce55bb55413a8ee534a26d90119ba,True,0.9984729043707954,0.0,0.038461538,0.961538462,0.0,0.0,0.406486486,0.0,19.96945808741591,4.992364521853977,3.333333333,100.0,0.0,0.9958591954545455,0.0,0.0,0.0,15
0x9786efa4b261eeff49081373439d3e0675b483b7,True,0.9975276225096859,0.0,0.041666667,0.958333333,0.0,0.0,0.562374917,0.0,22.943135317722774,0.0,23.0,100.0,0.0,0.9958591954545455,0.0,50000000000.0,0.0,2
0xe11848b13738d62e0868d71cc9b780f9d03dec5d,True,0.9371949235274976,0.0,0.016393443,0.983606557,0.0,0.0,0.189365902,0.0,42.173771558737386,14.057923852912463,2.8125,100.0,0.0,0.9958591954545455,0.0,0.0,0.0077819399559999995,2
0xee9dcdb14e41217ec5999ebdb1f4ce7f604a0218,True,0.9979703975050741,0.0,0.055555556,0.944444444,0.0,0.0,0.323577236,0.0,15.967526360081186,0.9979703975050741,8.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.058,9
0x5ac65aba7b27aad0934f5b36293374f444ec6383,True,0.9331187736153261,0.0,0.142857143,0.857142857,0.0,0.0,0.221965905,0.0,5.598712641691956,0.0,6.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.15496276533333334,1
0xb0b1d77c5470071558e26170138d29824e72946b,True,0.9566744175010677,0.0,0.021276596,0.978723404,0.0,0.0,0.17192406,0.0,37.31030228254164,6.696720922507474,4.875,100.0,0.0,0.9958591954545455,0.0,0.0,0.3000300030003,4
