createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token0.name,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.decimals,token00.txCount,token00_creator_address,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_token,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,active_period,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,total_LP_amount,receiver,current_token_total_supply,burn_amount,timestamp_creator_LP_amount,timestamp_creator_token_amount
12791930,2021-07-09,0x79be722ac565ea6e0393b04604b766c6d6a07ed8,1e-18,0.017,0.017,SHIBA INU GOLD,0x362ab5301dbc494157a5ab263a386599f1851d1e,SHIBA INU GOLD,SHIBG,1e-18,18,66,0x1557c09b63ca266a6fcf478d7f2908406887657a,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,200.0,4500000000000000.0,1635845980,2021-11-02 9:39,burn,1626241988,2021-07-14 5:53,239.56886,1e-18,-1.0,118.04416666666667h,True,1626241988,1,63,0,0.015625,0.984375,0.0,0.0,0.05453890689492784,0.0,63,0,63.0,180495,948683298.050513799599667063,0x1557c09b63ca266a6fcf478d7f2908406887657a,100.0,0.0,948683298.050513799599667063,0x1557c09b63ca266a6fcf478d7f2908406887657a,8.999999999999999e+17,0,0.0,899258775478536064
12618815,2021-06-12,0x5e58b5210e069fd4dcea10d94e735b0809b6a6b3,1e-18,8.52e-10,2e-18,Wrapped Ether,0xe6a739e8dc3b2f81cae3f76bb7cf6ab62b127a76,Jejudoge V2,JEJUDOGEv2,8.52e-10,18,77,0x44f7e3ddabf23473c2ca2b3608d30382ebb21712,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,470.0,500000000000000.0,1623566454,2021-06-13 6:40,burn,1623566454,2021-06-13 6:40,569.291876,1e-18,-1.0,21.3175h,True,1623566454,1,75,0,0.013157894736842105,0.9868421052631579,0.0,0.0,0.10535127299454869,0.0,75,0,75.0,48979,484767985.741632901407443057,0x44f7e3ddabf23473c2ca2b3608d30382ebb21712,100.0,0.0,484767985.741632901407443057,0x44f7e3ddabf23473c2ca2b3608d30382ebb21712,1000000000000000.0,499999999999000,0.0,413030186608599.9375
12624641,2021-06-13,0xf690325d046cc76b1f88c6d84b9ca7673f1b68ed,8.54e-10,1e-18,2e-18,jejudoge.net,0x66fa44eaee200e3f559bc67980f8a5b1ca4a3fc9,jejudoge.net,JEJUDOGEv2🐶,8.54e-10,18,86,0x7f5fe703ea7e052fc43baa453e931cda1af65319,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,460.0,500000000000000.0,1623660172,2021-06-14 8:42,burn,1623660172,2021-06-14 8:42,561.7277403,1e-18,-1.0,25.67861111111111h,True,1623660172,1,84,0,0.011764705882352941,0.9882352941176471,0.0,0.0,0.08549767905041841,0.0,84,0,84.0,62259,479583152.331271954159742806,0x7f5fe703ea7e052fc43baa453e931cda1af65319,100.0,0.0,479583152.331271954159742806,0x7f5fe703ea7e052fc43baa453e931cda1af65319,1000000000000000.0,499999999999499.9375,0.0,411192730173500.5
12663417,2021-06-19,0x4014f7d9b0d0196da20199c9ad6c3e4251feb9fb,9.98e-10,1e-18,2e-18,Jejudoge,0xa387c2b305f64e0d4faedd63803b25e1dc411b5a,Jejudoge,JEJUDOGE🦮,9.98e-10,18,47,0x0f7cecdd0f9c2b335c61ef740bb986c2c6c1925e,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,410.0,500000000000000.0,1624175488,2021-06-20 7:51,burn,1624175488,2021-06-20 7:51,453.870689,1e-18,-1.0,24.63861111111111h,True,1624175488,1,45,0,0.021739130434782608,0.9782608695652174,0.0,0.0,0.08453886191445012,0.0,45,0,45.0,80117,452769256.906870831328689408,0x0f7cecdd0f9c2b335c61ef740bb986c2c6c1925e,100.0,0.0,452769256.906870831328689408,0x0f7cecdd0f9c2b335c61ef740bb986c2c6c1925e,1000000000000000.0,0,0.0,951807864115298.5
12605370,2021-06-10,0x8b72aceb3e49a4c343ee538ff96b8497ba14575c,1e-18,8.12e-10,2e-18,Wrapped Ether,0xe4e873b8b73b290913ce7f26b55a2e809e1b9013,Jejudoge V2,JEJUDOGEv2🐕,8.12e-10,18,142,0x3380b498454f093c31c36b1b94ee51b5095377f1,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,330.0,500000000000000.0,1623489000,2021-06-12 9:10,burn,1623489000,2021-06-12 9:10,500.7644973,1e-18,-1.0,49.84111111111111h,True,1623489000,1,140,0,0.0070921985815602835,0.9929078014184397,0.0,0.0,0.1639838018531398,0.0,140,0,140.0,178292,406201920.231798018022993178,0x3380b498454f093c31c36b1b94ee51b5095377f1,100.0,0.0,406201920.231798018022993178,0x3380b498454f093c31c36b1b94ee51b5095377f1,1000000000000000.0,500000000000000,0.0,329907081879581.4375
